,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
3170,berkeley city college,94704-1183     ,Public,55,90809,92322,0,0,0,390,130452,124240,Berkeley,10612.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3171,biola university,90639-0001     ,Private/Non-Profit,575,448507,578009,418,0,609226,390,347582,440244,La Mirada,43201.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3172,brooks institute,93103-1809     ,Proprietary,32,55200,73457,0,0,0,57,56888,73800,Ventura,31458.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3173,bryan college,95670-4443     ,Proprietary,4,44715,7141,0,0,0,164,51124,73909,Dayton,29968.0,Region 10,California,Region 10,0.064601696,2012.0
3174,bryan college,95670-4443     ,Proprietary,4,44715,7141,0,0,0,164,51124,73909,Dayton,29968.0,Region 4 (Davidson),Tennessee,Region 4 (Davidson),0.0704486171,2012.0
3175,bryan college,37321-7000     ,Private/Non-Profit,165,208133,156392,34,0,78704,169,95231,128972,Dayton,29968.0,Region 10,California,Region 10,0.064601696,2012.0
3176,bryan college,37321-7000     ,Private/Non-Profit,165,208133,156392,34,0,78704,169,95231,128972,Dayton,29968.0,Region 4 (Davidson),Tennessee,Region 4 (Davidson),0.0704486171,2012.0
3177,butte college,95965-8399     ,Public,150,421217,351527,0,0,0,801,489874,444119,Oroville,10138.0,Region 6 (Santa Clara),California,Region 6 (Santa Clara),0.0591874928,2012.0
3178,cabrillo college,95003-3194     ,Public,70,233562,265494,0,0,0,792,260288,351067,Aptos,12570.0,Region 10,California,Region 10,0.064601696,2012.0
3179,california baptist university,92504-3297     ,Private/Non-Profit,251,350000,250000,57,0,112000,404,245214,313729,Riverside,37341.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3180,california baptist university,92504-3297     ,Private/Non-Profit,251,350000,250000,57,0,112000,404,245214,313729,Bakersfield,22328.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3181,california christian college,93703-3599     ,Private/Non-Profit,5,5616,7486,0,0,0,19,5720,7600,Fresno,18897.0,Region 12R,California,Region 12R,0.0659277508,2012.0
3182,california college of the arts,94107-2206     ,Private/Non-Profit,413,293076,914919,69,0,130950,134,181302,241736,San Francisco,51559.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3183,california college san diego,92108-3821     ,Proprietary,20,100744,87545,0,0,0,1100,150090,201699,San Diego,26549.0,Region 10,California,Region 10,0.064601696,2012.0
3184,california institute of technology,91125-0001     ,Private/Non-Profit,224,550786,518325,226,0,900715,110,186294,420347,Pasadena,54090.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3185,california institute of the arts,91355-2397     ,Private/Non-Profit,322,345399,463236,274,0,649160,148,139285,181963,Valencia,55761.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3186,california lutheran university,91360-2787     ,Private/Non-Profit,308,325863,434484,36,0,130000,258,205430,273907,Thousand Oaks,46435.0,Region 10,California,Region 10,0.064601696,2012.0
3187,california polytechnic state university,93407-0001     ,Public,233,470586,449347,109,0,155102,1468,816370,1232595,San Luis Obispo,23373.0,Region 10,California,Region 10,0.064601696,2012.0
3188,"california state polytechnic university, pomona",91768-2500     ,Public,321,558093,768165,410,0,1078554,968,459406,587737,Pomona,18347.0,Region 10,California,Region 10,0.064601696,2012.0
3189,california state university - sacramento,95819-6044     ,Public,357,832785,866787,187,0,608675,752,636303,884504,Sacramento,19391.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3190,california state university channel islands,93012-8599     ,Public,38,106309,106309,0,0,0,251,90801,90801,Camarillo,21560.0,Region 12R,California,Region 12R,0.0659277508,2012.0
3191,"california state university, bakersfield",93311-1022     ,Public,109,280003,297985,41,0,97696,356,193082,193082,Bakersfield,17020.0,Region 9R (San Mateo),California,Region 9R (San Mateo),0.0599311656,2012.0
