,School,State,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,value,year,location
87,1014,0,871,2,33.0,20000.0,19992,0.0,0.0,0.0,35.0,14370.0,14414.0,716,16520.0,0.0483351449,2013.0,6
88,1094,0,822,0,295.0,322846.0,263807,0.0,0.0,0.0,416.0,300208.0,358896.0,396,21336.0,0.0532399619,2013.0,5
89,1256,0,845,2,43.0,79174.0,80361,0.0,0.0,0.0,126.0,66470.0,64086.0,995,7860.0,0.0527178321,2013.0,7
90,1283,0,840,2,49.0,86606.0,102656,0.0,0.0,0.0,289.0,85407.0,61052.0,818,9111.0,0.0527178321,2013.0,7
91,1313,0,841,0,75.0,226411.0,194727,0.0,0.0,0.0,197.0,278941.0,293785.0,550,34705.0,0.0542254962,2013.0,4
92,1457,0,858,2,30.0,49546.0,34231,0.0,0.0,0.0,86.0,51346.0,63732.0,393,9693.0,0.0527178321,2013.0,7
93,1541,0,830,0,285.0,453771.0,342186,195.0,0.0,542991.0,221.0,85236.0,212144.0,118,38835.0,0.0532399619,2013.0,5
94,1593,0,835,2,62.0,127782.0,95989,0.0,0.0,0.0,267.0,124270.0,147330.0,1212,9829.0,0.0527178321,2013.0,7
95,1593,0,835,2,62.0,127782.0,95989,0.0,0.0,0.0,267.0,124270.0,147330.0,1254,13007.0,0.0527178321,2013.0,7
96,1611,0,844,2,36.0,61073.0,63742,0.0,0.0,0.0,49.0,52464.0,33732.0,130,9622.0,0.0527178321,2013.0,7
97,1633,0,831,0,8.0,9632.0,12842,0.0,0.0,0.0,17.0,6540.0,8320.0,118,19127.0,0.0527178321,2013.0,7
98,1656,0,855,2,90.0,112511.0,96154,0.0,0.0,0.0,148.0,97348.0,103712.0,1293,13027.0,0.0527178321,2013.0,7
99,1690,0,864,0,112.0,111372.0,173171,123.0,0.0,244123.0,304.0,105992.0,141323.0,773,43325.0,0.0532399619,2013.0,5
100,1717,0,834,0,147.0,213000.0,160076,0.0,0.0,0.0,350.0,323189.0,352041.0,1254,24744.0,0.0532399619,2013.0,5
101,1746,0,826,0,94.0,162608.0,171012,0.0,0.0,0.0,114.0,321995.0,269606.0,1209,18758.0,0.0532399619,2013.0,5
102,1818,0,846,2,400.0,804718.0,739840,153.0,0.0,471095.0,255.0,460711.0,490711.0,1247,16877.0,0.0527178321,2013.0,7
103,1825,0,847,0,537.0,1009296.0,886357,487.0,0.0,1742883.0,516.0,1157061.0,1188664.0,1255,32853.0,0.0483351449,2013.0,6
104,1838,0,837,2,583.0,1472805.0,1207258,673.0,0.0,1870483.0,1035.0,608477.0,1203567.0,1254,26717.0,0.0532399619,2013.0,5
105,1838,0,837,2,583.0,1472805.0,1207258,673.0,0.0,1870483.0,1035.0,608477.0,1203567.0,118,32554.0,0.0532399619,2013.0,5
106,1839,0,833,2,501.0,1260458.0,1215412,675.0,0.0,1721203.0,662.0,680615.0,851838.0,118,19990.0,0.0532399619,2013.0,5
107,1840,0,842,2,70.0,148091.0,212487,0.0,0.0,0.0,87.0,114474.0,154896.0,550,20306.0,0.0532399619,2013.0,5
108,1924,0,866,0,76.0,108323.0,130090,8.0,0.0,31000.0,91.0,85362.0,107839.0,773,30108.0,0.0527178321,2013.0,7
109,1927,0,824,2,106.0,185534.0,138353,12.0,0.0,42500.0,156.0,87751.0,157450.0,787,20194.0,0.0532399619,2013.0,5
110,1936,0,839,2,180.0,251403.0,288835,0.0,0.0,0.0,579.0,138919.0,170575.0,410,15058.0,0.0542254962,2013.0,4
111,1964,0,867,2,144.0,500000.0,382537,94.0,0.0,558000.0,985.0,276982.0,535976.0,773,17125.0,0.0527178321,2013.0,7
112,1995,0,836,2,135.0,349081.0,370771,14.0,0.0,27500.0,137.0,96412.0,93985.0,679,17959.0,0.0483351449,2013.0,6
113,2036,0,827,1,365.0,764457.0,675493,0.0,0.0,0.0,3011.0,1443894.0,1774234.0,118,20980.0,0.0532399619,2013.0,5
114,2036,0,827,1,365.0,764457.0,675493,0.0,0.0,0.0,3011.0,1443894.0,1774234.0,550,22243.0,0.0532399619,2013.0,5
115,2036,0,827,1,365.0,764457.0,675493,0.0,0.0,0.0,3011.0,1443894.0,1774234.0,773,22176.0,0.0532399619,2013.0,5
116,2036,0,827,1,365.0,764457.0,675493,0.0,0.0,0.0,3011.0,1443894.0,1774234.0,788,15462.0,0.0532399619,2013.0,5
117,68,3,1636,0,43.0,48234.0,43234,0.0,0.0,0.0,127.0,56541.0,56541.0,675,20024.0,0.0549822174,2013.0,25
